compound_id,smiles,patent_number,assignee,title,filing_date
CMP0141,Cc1ccccc1O,US4072905,Takeda,COX pathway modulators and their uses,2020-05-23
CMP0142,Cc1ccccc1C,USRE44757E1,Merck,Substituted quinazoline derivatives and compositions,2005-10-28
CMP0143,Cc1ccccc1O,US20030139869A1,Amgen,COX pathway modulators and their uses,2012-01-24
CMP0144,Cc1ccccc1C,US20040023894A1,BMS,Heteroaryl derivatives as enzyme inhibitors,2022-12-04
CMP0145,Cc1ccccc1N,US20050020613A1,Pfizer,Agrochemical formulations of heterocyclic compounds,1995-12-09
CMP0146,Cc1ccccc1N,US20060229569A1,Roche,COX pathway modulators and their uses,1997-01-18
CMP0147,Cc1ccccc1O,US20070287679A1,AstraZeneca,Agrochemical formulations of heterocyclic compounds,2020-05-18
CMP0148,Cc1ccccc1N,US20100160383A1,Roche,Substituted quinazoline derivatives and compositions,2009-01-18
CMP0149,Cc1ccccc1O,US20100267608A1,BMS,Pharmaceutical compositions comprising aromatic acids,1998-01-01
CMP0150,Cc1ccccc1O,US20110021424A1,Takeda,Methods for preparing substituted indoles,2008-09-17
CMP0151,Cc1ccccc1O,US20110039766A1,Merck,Agrochemical formulations of heterocyclic compounds,2011-11-27
CMP0152,Cc1ccccc1O,US20110060062A1,Novartis,Pharmaceutical compositions comprising aromatic acids,2014-06-14
CMP0153,Cc1ccccc1N,US20110201766A1,Pfizer,Crystalline forms of active pharmaceutical ingredients,2001-12-23
CMP0154,Cc1ccccc1C,US20110218208A1,Bayer,Methods for synthesizing substituted benzamides,2009-03-24
CMP0155,Cc1ccccc1N,US20130065821A1,Roche,Methods for synthesizing substituted benzamides,2001-11-15
CMP0156,Cc1ccccc1O,US20130109679A1,Bayer,Substituted quinazoline derivatives and compositions,2005-09-13
CMP0157,Cc1ccccc1C,US20140256745A1,Amgen,Crystalline forms of active pharmaceutical ingredients,2020-10-11
CMP0158,Cc1ccccc1C,WO2009145678A1,Takeda,Prodrugs of salicylic acid and uses thereof,2010-11-02
CMP0159,Cc1ccccc1N,WO2010034567A1,Pfizer,Methods for synthesizing substituted benzamides,2003-12-17
CMP0160,Cc1ccccc1O,WO2011009876A1,Amgen,Substituted quinazoline derivatives and compositions,1999-05-17
CMP0161,Cc1ccccc1O,WO2012087654A1,Novartis,Prodrugs of salicylic acid and uses thereof,2007-07-18
CMP0162,Cc1ccccc1O,EP2044319A1,Merck,Stable phenolic compound compositions,1997-01-06
CMP0163,Cc1ccccc1C,EP2476155A1,Novartis,Agrochemical formulations of heterocyclic compounds,2021-02-20
CMP0164,Cc1ccccc1C,EP2334567A1,Bayer,Agrochemical formulations of heterocyclic compounds,2013-02-04
CMP0165,Cc1ccccc1N,EP2897654A1,Novartis,Methods for synthesizing substituted benzamides,2001-07-24
CMP0166,Cc1ccccc1N,US20140309250A1,BMS,Methods for synthesizing substituted benzamides,2008-06-20
CMP0167,Cc1ccccc1N,US20160012345A1,GSK,Methods for preparing substituted indoles,2011-05-12
CMP0168,Cc1ccccc1C,US20190212345A1,Roche,Crystalline forms of active pharmaceutical ingredients,2021-04-26
CMP0169,Cc1ccccc1C,US20210012345A1,Roche,Methods for synthesizing substituted benzamides,2004-12-23
CMP0170,Cc1ccccc1O,US4693702,GSK,Methods for preparing substituted indoles,2017-12-08
CMP0171,Cc1ccccc1C,US5821323,Takeda,COX pathway modulators and their uses,1999-07-05
CMP0172,Cc1ccccc1O,US4921989,BMS,Agrochemical formulations of heterocyclic compounds,2010-01-14
CMP0173,Cc1ccccc1O,US5935940,Roche,Stable phenolic compound compositions,1999-06-14
CMP0174,Cc1ccccc1O,US4007047,BMS,Agrochemical formulations of heterocyclic compounds,2015-05-15
CMP0175,Cc1ccccc1N,US4072905,Roche,Crystalline forms of active pharmaceutical ingredients,2002-07-07
CMP0176,Cc1ccccc1O,USRE44757E1,Amgen,Heteroaryl derivatives as enzyme inhibitors,2001-03-07
CMP0177,Cc1ccccc1N,US20030139869A1,Amgen,Agrochemical formulations of heterocyclic compounds,2010-08-25
CMP0178,Cc1ccccc1N,US20040023894A1,Novartis,Prodrugs of salicylic acid and uses thereof,2006-05-17
CMP0179,Cc1ccccc1O,US20050020613A1,Roche,Crystalline forms of active pharmaceutical ingredients,2008-09-03
CMP0180,Cc1ccccc1O,US20060229569A1,AstraZeneca,Crystalline forms of active pharmaceutical ingredients,1995-08-20
CMP0181,Cc1ccccc1C,US20070287679A1,Bayer,Stable phenolic compound compositions,2011-07-21
CMP0182,Cc1ccccc1O,US20100160383A1,Amgen,Prodrugs of salicylic acid and uses thereof,2020-06-28
CMP0183,Cc1ccccc1C,US20100267608A1,BMS,Prodrugs of salicylic acid and uses thereof,2021-10-23
CMP0184,Cc1ccccc1N,US20110021424A1,Bayer,Methods for preparing substituted indoles,2022-03-08
CMP0185,Cc1ccccc1N,US20110039766A1,AstraZeneca,Prodrugs of salicylic acid and uses thereof,2009-03-01
CMP0186,Cc1ccccc1C,US20110060062A1,GSK,Methods for preparing substituted indoles,1998-01-18
CMP0187,Cc1ccccc1C,US20110201766A1,Novartis,Pharmaceutical compositions comprising aromatic acids,2011-06-25
CMP0188,Cc1ccccc1O,US20110218208A1,Roche,Agrochemical formulations of heterocyclic compounds,2005-12-26
CMP0189,Cc1ccccc1O,US20130065821A1,Merck,Substituted quinazoline derivatives and compositions,2017-07-16
CMP0190,Cc1ccccc1C,US20130109679A1,Novartis,Methods for preparing substituted indoles,2020-10-09
CMP0191,Cc1ccccc1C,US20140256745A1,AstraZeneca,Agrochemical formulations of heterocyclic compounds,2002-05-09
CMP0192,Cc1ccccc1C,WO2009145678A1,Pfizer,Methods for preparing substituted indoles,1998-06-06
CMP0193,Cc1ccccc1O,WO2010034567A1,Amgen,Crystalline forms of active pharmaceutical ingredients,2009-01-08
CMP0194,Cc1ccccc1C,WO2011009876A1,AstraZeneca,Methods for synthesizing substituted benzamides,2007-10-09
CMP0195,Cc1ccccc1C,WO2012087654A1,Merck,Stable phenolic compound compositions,2022-10-02
CMP0196,Cc1ccccc1O,EP2044319A1,Takeda,COX pathway modulators and their uses,2010-04-28
CMP0197,Cc1ccccc1N,EP2476155A1,AstraZeneca,Methods for preparing substituted indoles,2014-07-18
CMP0198,Cc1ccccc1C,EP2334567A1,AstraZeneca,COX pathway modulators and their uses,2022-01-07
CMP0199,Cc1ccccc1O,EP2897654A1,Pfizer,Crystalline forms of active pharmaceutical ingredients,2008-02-18
